SMILES,LogBCF
CCCCC(COC(=O)c1ccc(cc1C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)CC,1.17
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1.72
C(=C(C(C1(Cl)Cl)(C=C2)Cl)Cl)(C12Cl)Cl,3.81
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,2.52
Cc1cc(ccc1S(C)=O)OP(=S)(OC)OC,0.12
S(=O)(=O)(C)c1c(C)cc(OP(=S)(OC)OC)cc1,0.51
O=C(Oc(c(ccc1)C(CC)C)c1)NC,1.41
COP1(=S)OCc2ccccc2O1,1.31
Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2cc(c3)Cl)c3)n2,3.57
CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,3.46
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,3.82
Oc1c(cccc1C1CCCCC1)C1CCCCC1,3.02
C1CC=CCCC=CCCC=C1,3.92
O=S(=O)(Nc(cccc1)c1)c(ccc(Nc(cccc2)c2)c3N(=O)(=O))c3,1.61
Cc1ccc(cc1O)[N+]([O-])=O,0.85
[Na]OS(=O)(=O)c1cc2cc(S(=O)(=O)O)cc(N)c2c(O)c1,0.46
CC(CC)c1cccc(C(C)CC)c1O,2.39
ClC12C(Cl)(Cl)C(C3C2CC(Cl)(Cl)C3)(Cl)C(Cl)=C1Cl,4.3
CCc1ccc(cc1)-c1ccccc1,2.82
C[C@]1(CCC[C@@]2(C)[C@H]1CC=C1C[C@](C)(CC[C@H]21)C=C)C(O)=O,1.63
c12c(S(=O)(=O)O)ccc(O)c1cccc2,1.11
COc1cc(Cl)c(Cl)cc1Cl,2.81
c(cccc1)(c1)C(c(c(ccc2C)C)c2)C,2.86
Cc1cc(Cl)c(Cl)cc1Cl,3.87
O(OC(C)(C)C)C(OOC(C)(C)C)(CC(CC1(C)C)C)C1,3.96
c1c(Cl)c(Cl)c(OC)c(Cl)c1Cl,3.69
CC(C)CN1CCOCC1,0.25
O=C(c(c(C1(=O))ccc2)c2)C1c(nc(c(c3Br)ccc4)c4)c3O,1.14
CNc1ccc(cc1)C(O)=O,0.38
COC(=O)Nc1[nH]c2ccccc2[n]1,0.4
ClC(Cl)(CCl)CCl,1.57
C1=CC(C(C)C)(CC2)C3C(=O)N(CC(CC)CCCC)C(=O)C3C12C,2.97
CC(CC(C)(C)C)CC(C)(C)C,2.94
c1ccccc1Cc2cc(C)ccc2C,3.14
O=P(OC(CCl)C)(OC(CCl)C)OC(CCl)C,0.9
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1.08
O=C(c(c(C(=O)c1cccc2)ccc3CCCCC)c3)c12,2.94
CCOP(=S)(O/N=C(\C#N)/c1ccccc1)OCC,2.91
OCc1c(Cl)cccc1Cl,0.47
Clc1cc(-c2ccccc2)c(Cl)cc1Cl,3.78
[Na]OS(=O)(=O)c1c(cc2ccc(cc2c1)S(=O)(=O)O[Na])O,0.3
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,3.85
COCN(C(=O)CCl)c1c(CC)cccc1CC,1.12
C(C(C=CC12)C1)(=CC)C2,2.04
Clc1cccc(-c2ccccc2)c1Cl,3.98
Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,4.13
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,1.51
[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,2.2
COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,3.62
[O-][N+](=O)c1c(Cl)cc(Cl)cc1Cl,2.47
CCOP(=S)(Oc1cc(o[n]1)-c1ccccc1)OCC,2.61
Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,3.92
CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,3.08
Clc1c2ccccc2c(Cl)c(Cl)c1Cl,3.7
c1ccc2N=C(SCSC(#N))Sc2c1,2.32
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,3.78
OS(=O)(=O)c1cc(Cl)ccc1Oc1ccc(Cl)cc1NC(=O)Nc1cc(Cl)c(Cl)cc1,1.87
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,2.12
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0.94
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,1.16
C=Cc1ccc(cc1)CC,2.69
CCN(CC)C(=O)SCc1ccc(Cl)cc1,2.23
ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.91
Clc1c2Oc3ccccc3Oc2c(Cl)c(Cl)c1Cl,3.46
Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,5.08
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,4.62
c1ccccc1C(OCCCl)c2ccccc2,2.51
Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,5.97
COc1cc(ccc1[N+]([O-])=O)Oc1ccc(Cl)cc1Cl,3.59
Clc3ccc2Oc1cc(Cl)ccc1Oc2c3,2.54
Clc1cc(-c2ccccc2)c(Cl)cc1,3.98
Clc1cc(cc(Cl)c1)-c1ccccc1,3.77
Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,5.43
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,2.2
Clc1cc(-c2cc(Cl)ccc2Cl)c(Cl)cc1,4.26
Clc1cc2Oc3c(Oc2c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.67
Cc1ccc(c(c1)OP(=S)(NC(C)CC)OCC)[N+]([O-])=O,2.46
c1c(Cl)cc(Cl)cc1N2C(=O)CN(C(=O)NC(C)C)C2(=O),2.53
Clc1cc(-c2ccccc2Cl)c(Cl)cc1,4.23
Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,5.47
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,5.38
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,4.23
Clc1c2oc3c(c2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,2.89
Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,4
Clc1cc(Cl)c(Cl)c2Oc3ccccc3Oc12,2.75
Clc1c(Cl)c2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,4.26
CCCCCCc1ccc(cc1)-c1ccc(cc1)C#N,3.52
Clc1cc(-c2cccc(Cl)c2Cl)c(Cl)cc1,4.84
COc1c(Cl)c(Cl)ccc1Cl,2.52
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,1.57
Clc1cc2c(cc1Cl)oc1cc(Cl)c(Cl)cc21,3.61
CC(C)C(C(=O)OC(C#N)c1cc(ccc1)Oc1ccccc1)c1ccc(Cl)cc1,2.85
CC1(C)C(C1C=C(Cl)Cl)C(=O)OC(C#N)c1cccc(c1)Oc1ccccc1,2.53
Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)cc1,5.54
CC1(C)[C@@H]([C@@H]1C=C(Br)Br)C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1,2.51
COc1ccc(Cl)c(Cl)c1Cl,2.96
COc1cc(Cl)c(Cl)c(Cl)c1,3.09
Clc1cc2ccc(Cl)cc2c(Cl)c1,4.43
Clc1c(Cl)c(Cl)c(Cl)c(C(=O)O)c1C(=O)N,0.49
Clc2c(ccc(c2)Oc1cc(c(cc1)Cl)Cl)Cl,4.51
Cc1cc(Cl)c(OP(=S)(OC)OC)c(Cl)c1,2.86
COc1c(O)cc(Cl)c(Cl)c1Cl,2.41
Clc1c(Cl)c2oc3cc(Cl)c(Cl)cc3c2cc1Cl,4.13
Clc1ccc2c(oc3cc(Cl)c(Cl)cc23)c1Cl,2.72
Clc1c(Cl)c2c(cc1Cl)oc1cc(Cl)c(Cl)cc12,3.58
Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c23)c(Cl)c1Cl,3.94
O=C(O)C(C(C(=O)O)CCC1C)C1,0.38
Clc1cc2Oc3c(cc(Cl)c(Cl)c3Cl)Oc2c(Cl)c1Cl,3.93
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,3.87
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,4.66
O=C(c(c(C(=O)c1c(N)c(Oc(ccc(c2)Br)c2)cc3O)ccc4)c4)c13,2.05
O[Si](CCCCCC)(CCCCCC)CCCCCC,2.7
Clc1cc2c(oc3c2cc(Cl)c(Cl)c3Cl)c(Cl)c1Cl,3.98
"CC1(C)[C@@H]([C@@H]1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1 |o1:3,4|",2.65
CC(C)Oc1cc(ccc1)NC(=O)c1ccccc1C(F)(F)F,1.29
Clc1cc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c1Cl,3.45
COC(=O)C(C)Oc1ccc(cc1)Oc1[n]cc(cc1Cl)C(F)(F)F,1.23
Clc1cc2c3c(oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.9
Clc1cc(Cl)c(Cl)c2c1oc1c2c(Cl)cc(Cl)c1Cl,2.96
Clc1ccc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c1Cl,2.78
Clc1cc2oc3c(c2c(Cl)c1Cl)c(Cl)cc(Cl)c3Cl,3.2
CCc1[n][n](C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,1.15
