,SMILES,LogKmHL
427,Clc1cc(cc(Cl)c1)-c1ccccc1,1.11
428,Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,2.55
429,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1Cl,2.59
430,Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)c(Cl)c1Cl,2.34
431,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,3.0
432,Clc1cc2Oc3c(Oc2c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,1.21
433,Cc1ccc(c(c1)OP(=S)(NC(C)CC)OCC)[N+]([O-])=O,-0.2
434,Clc(cc(Cl)c1c(ccc2)c(Cl)c2Cl)cc1,2.62
435,Clc1cc(-c2ccccc2Cl)c(Cl)cc1,1.87
436,Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,2.46
437,Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1Cl,2.73
438,Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,2.31
439,Clc1c(-c2cc(Cl)c(Cl)cc2)c(Cl)ccc1Cl,2.63
440,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,2.24
441,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.64
442,Clc1c(cc(Cl)c(Cl)c1Cl)-c1cc(Cl)c(Cl)cc1,2.73
443,Clc1ccc(Cl)c(Cl)c1-c1c(Cl)c(Cl)ccc1Cl,2.34
444,Clc1c(cc(Cl)c(Cl)c1Cl)-c1c(Cl)c(Cl)ccc1Cl,2.47
445,Clc1ccccc1-c1c(Cl)cccc1Cl,2.5
446,Clc1ccc(cc1)-c1c(Cl)cccc1Cl,2.44
447,Clc1ccc(cc1)-c1cccc(Cl)c1Cl,2.16
448,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,2.0
449,Clc3c(Cl)c(Cl)c1c(oc2c(Cl)c(Cl)c(Cl)c(Cl)c12)c3Cl,1.22
450,Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,1.27
451,Clc1cc(Cl)c(Cl)c2Oc3ccccc3Oc12,0.43
452,Clc1c(cc(Cl)c(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,2.32
453,Clc1cc(Cl)c(Cl)c(Cl)c1-c1c(Cl)c(Cl)cc(Cl)c1Cl,2.46
454,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2,2.68
455,Clc1c(Cl)c2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,1.56
456,CCCCCCc1ccc(cc1)-c1ccc(cc1)C#N,0.85
457,BrC1=CC(Br)=CC=C1OC2=CC=C(C=C2)Br,1.25
458,Clc1cc(-c2cccc(Cl)c2Cl)c(Cl)cc1,2.33
459,Clc1cc(ccc1Cl)-c1cccc(Cl)c1Cl,2.47
460,Clc(ccc1)c(Cl)c1c(c(Cl)cc2)c(Cl)c2,2.18
461,Clc1cc(Cl)c(Cl)cc1-c1cccc(Cl)c1Cl,2.55
462,Clc1cc2c(cc1Cl)oc1cc(Cl)c(Cl)cc21,0.56
463,CC(C)C(C(=O)OC(C#N)c1cc(ccc1)Oc1ccccc1)c1ccc(Cl)cc1,0.69
464,CCCCC(=C)CCCCCCCC,0.88
465,Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c(Cl)c1,2.4
466,Clc1ccc(cc1)-c1c(Cl)c(Cl)ccc1Cl,2.35
467,Clc1cc(Cl)c(Cl)cc1-c1c(Cl)c(Cl)cc(Cl)c1Cl,2.45
468,Clc1c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1Cl,2.59
469,Clc1c(Cl)c(ccc1Cl)-c1c(Cl)c(Cl)cc(Cl)c1Cl,2.5
470,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.52
471,Clc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,2.43
472,Clc1cc(Cl)c(Cl)c(c1)-c1cc(Cl)c(Cl)c(Cl)c1Cl,2.51
473,Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c(Cl)c1Cl,2.47
474,Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)cc1Cl,2.63
475,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.54
476,Clc1cc(Cl)c(Cl)c(Cl)c1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.66
477,Clc1c(c(c(c(c1Cl)Cl)Cl)Cl)c2cc(ccc2Cl)Cl,2.48
478,Clc1cc(-c2c(Cl)c(Cl)ccc2Cl)c(Cl)c(Cl)c1,2.32
479,CCCCCCC1CC(C)CCC1,0.97
480,CC1(C)[C@@H]([C@@H]1C=C(Br)Br)C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1,0.51
481,COc1ccc(Cl)c(Cl)c1Cl,1.4
482,Cc1cc(Cl)c(OP(=S)(OC)OC)c(Cl)c1,-0.11
483,COc1c(O)cc(Cl)c(Cl)c1Cl,0.11
484,Clc1c(Cl)c2oc3cc(Cl)c(Cl)cc3c2cc1Cl,1.36
485,Clc3c(c(cc2c3oc1c2ccc(c1Cl)Cl)Cl)Cl,0.9
486,Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c23)c(Cl)c1Cl,1.0
487,Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,2.4
488,Clc1cc2Oc3c(cc(Cl)c(Cl)c3Cl)Oc2c(Cl)c1Cl,1.21
489,c1cc(Cl)ccc1Oc2c(Cl)cc(Cl)cc2,1.72
490,Brc1cc(Br)c(-c2ccccc2)c(Br)c1,1.25
491,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,2.66
492,Clc2ccc(Oc1cc(Cl)c(Cl)cc1Cl)c(Cl)c2,2.02
493,Clc1cc(-c2cccc(Cl)c2Cl)c(Cl)c(Cl)c1,2.44
494,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,2.51
495,OC(c1ccccc1Cl)(c1ccc(Cl)cc1)c1c[n]c[n]c1,0.57
496,CCCC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(Cl)cc1Cl,0.7
497,BrC1=CC(Br)=C(C=C1OC2=CC=C(C=C2Br)Br)Br,1.95
498,O[Si](CCCCCC)(CCCCCC)CCCCCC,0.04
499,Clc1cc2c(oc3c2cc(Cl)c(Cl)c3Cl)c(Cl)c1Cl,1.12
500,Clc1ccc(cc1)Oc1cc(Cl)c(Cl)cc1Cl,1.93
501,"CC1(C)[C@@H]([C@@H]1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1 |o1:3,4|",0.37
502,n1cncn1CC(c2c(Cl)cc(Cl)cc2)CCC,1.19
503,C(F)(F)(F)c1ccccc1C(=O)Nc2cccc(OC(C)C)c2,-0.61
504,"CC1(C)[C@@H]([C@@H]1C=C(Cl)Cl)C(=O)O[C@@H](C#N)c1cccc(c1)Oc1ccccc1 |o1:3,4,a:12|",0.7
505,Clc1cc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c1Cl,0.9
506,Clc1cc(Cl)c(cc1)-c1c(Cl)cccc1Cl,2.47
507,Clc1cc(Cl)c(cc1)-c1c(Cl)c(Cl)ccc1Cl,2.61
508,Clc1cc(-c2c(Cl)c(Cl)c(Cl)cc2Cl)c(Cl)cc1,2.23
509,COC(=O)C(C)Oc1ccc(cc1)Oc1[n]cc(cc1Cl)C(F)(F)F,-1.08
510,Clc1ccc(Cl)c(-c2ccccc2Cl)c1Cl,2.38
511,Clc1c(cc(cc1c2ccccc2Cl)Cl)Cl,2.8
512,Clc1ccc(cc1)-c1cc(Cl)c(Cl)c(Cl)c1,1.69
513,Clc1cc(Cl)c(Cl)cc1Oc2c(Cl)cc(Cl)c(Cl)c2,1.98
514,Clc1cc(ccc1)-c1c(Cl)c(Cl)ccc1Cl,2.47
515,Clc1cc(Cl)cc(-c2ccc(Cl)cc2)c1Cl,2.43
516,Clc1ccc(cc1)-c1cc(Cl)c(Cl)c(Cl)c1Cl,2.36
517,Clc1ccc(cc1)-c1c(Cl)c(Cl)c(Cl)cc1Cl,1.84
518,Clc1c(Cl)c(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1Cl,2.57
519,Clc1ccc(cc1Cl)-c1c(Cl)c(Cl)cc(Cl)c1Cl,2.61
520,Clc1cc(cc(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.65
521,Clc1cc2oc3c(cccc3Cl)c2cc1,0.58
522,Clc1ccc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c1Cl,0.43
523,n1c(F)c(Cl)c(N)c(Cl)c1OCC(=O)OC(C)CCCCCC,-0.61
524,Clc1cc(Cl)c(Cl)cc1Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2,1.97
525,Clc1cc(Cl)ccc1Oc2c(Cl)cc(Cl)cc2Cl,1.69
526,Clc1cc(Cl)cc(Cl)c1Oc2c(Cl)cc(Cl)c(Cl)c2,2.01
527,Clc1cc(Cl)ccc1Oc2c(Cl)c(Cl)c(Cl)cc2Cl,2.76
528,CC(C)(C)C(O)(C[n]1c[n]c[n]1)CCc1ccc(Cl)cc1,0.77
529,FC(F)C(F)(F)OCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl,1.23
530,Clc1cc(C(F)(F)F)cc(Cl)c1N2C(N)=C(S(=O)(=O)C(F)(F)F)C(C#N)=N2,1.05
531,Nc1c(c(C#N)[n][n]1-c1c(Cl)cc(cc1Cl)C(F)(F)F)S(=O)C(F)(F)F,-0.21
532,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1,0.23
533,CC(C)C=C(C)CC(C)C,0.92
534,Cc1c(Cl)cc(cc1Cl)C(=O)NC(C)(CC)C(=O)CCl,0.16
535,BrC1=C(C(Br)=CC=C1OC2=CC=C(C=C2Br)Br)Br,1.34
536,Cc2cc1c(CCCC(C)C)cccc1cc2C,0.06
537,Brc1cc(Br)c(Br)cc1Oc2c(Br)cc(Br)cc2(Br),2.03
538,Brc2cc(Br)c(Br)c(Br)c2Oc1cc(Br)c(Br)cc1Br,1.65
539,Cc2cc1ccc(CCCC)cc1cc2C,0.24
540,c12c3c4cccc3ccc1c(CCCCCCCC)ccc2C=C4,1.26
