,SMILES,LogBCF
459,COc1cc(Cl)c(Cl)cc1O,2.03
460,COP(=S)(Oc1ccc(cc1Cl)[N+]([O-])=O)OC,1.89
461,CCS(=O)(=O)CCSP(=S)(OCC)OCC,0.7
462,CCS(=O)CCSP(=S)(OCC)OCC,0
463,O=C(c(c(c(c(c1)ccc2)c2)C(=O)c3cccc4)c1)c34,1.69
464,Cc1cc2ccc3ccccc3c2cc1,3.48
465,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,3.08
466,Cc1cc(O)ccc1[N+]([O-])=O,1.06
467,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,1.69
468,CNC(=O)Oc1ccccc1C(C)C,0.95
469,COP(=S)(Oc1ccc(cc1)C#N)OC,1.56
470,CNC(=O)Oc1cc(C)cc(C)c1,0.4
471,COc1cc(Cl)c(Cl)c(Cl)c1O,1.97
472,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)-c1ccccc1,3.78
473,O=N(=O)N(CN(N(=O)=O)CN(N(=O)=O)CN1N(=O)=O)C1,-0.3
474,CC1=CC(=O)N=C(N1)C(C)C,0.26
475,CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,3.18
476,O(CN(c(nc(nc1N(COC)COC)N(COC)COC)n1)COC)C,0.54
477,[O-][N+](=O)c1cccc(Cl)c1Cl,2.16
478,BrCC(CBr)(CBr)CBr,1.94
479,Clc1c2Oc3c(Oc2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.12
480,OCC(CBr)(CBr)CO,0.68
481,CCCCC(COC(=O)c1ccc(cc1C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)CC,1.17
482,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1.72
483,C(=C(C(C1(Cl)Cl)(C=C2)Cl)Cl)(C12Cl)Cl,3.81
484,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,2.52
485,Cc1cc(ccc1S(C)=O)OP(=S)(OC)OC,0.12
486,S(=O)(=O)(C)c1c(C)cc(OP(=S)(OC)OC)cc1,0.51
487,O=C(Oc(c(ccc1)C(CC)C)c1)NC,1.41
488,COP1(=S)OCc2ccccc2O1,1.31
489,Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2cc(c3)Cl)c3)n2,3.57
490,CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,3.46
491,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,3.82
492,Oc1c(cccc1C1CCCCC1)C1CCCCC1,3.02
493,C1CC=CCCC=CCCC=C1,3.92
494,O=S(=O)(Nc(cccc1)c1)c(ccc(Nc(cccc2)c2)c3N(=O)(=O))c3,1.61
495,Cc1ccc(cc1O)[N+]([O-])=O,0.85
496,CC(CC)c1cccc(C(C)CC)c1O,2.39
497,ClC12C(Cl)(Cl)C(C3C2CC(Cl)(Cl)C3)(Cl)C(Cl)=C1Cl,4.3
498,CCc1ccc(cc1)-c1ccccc1,2.82
499,C[C@]1(CCC[C@@]2(C)[C@H]1CC=C1C[C@](C)(CC[C@H]21)C=C)C(O)=O,1.63
500,c12c(S(=O)(=O)O)ccc(O)c1cccc2,1.11
501,COc1cc(Cl)c(Cl)cc1Cl,2.81
502,c(cccc1)(c1)C(c(c(ccc2C)C)c2)C,2.86
503,Cc1cc(Cl)c(Cl)cc1Cl,3.87
504,O(OC(C)(C)C)C(OOC(C)(C)C)(CC(CC1(C)C)C)C1,3.96
505,c1c(Cl)c(Cl)c(OC)c(Cl)c1Cl,3.69
506,CC(C)CN1CCOCC1,0.25
507,O=C(c(c(C1(=O))ccc2)c2)C1c(nc(c(c3Br)ccc4)c4)c3O,1.14
508,CNc1ccc(cc1)C(O)=O,0.38
509,COC(=O)Nc1[nH]c2ccccc2[n]1,0.4
510,ClC(Cl)(CCl)CCl,1.57
511,C1=CC(C(C)C)(CC2)C3C(=O)N(CC(CC)CCCC)C(=O)C3C12C,2.97
512,CC(CC(C)(C)C)CC(C)(C)C,2.94
513,c1ccccc1Cc2cc(C)ccc2C,3.14
514,O=P(OC(CCl)C)(OC(CCl)C)OC(CCl)C,0.9
515,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1.08
516,O=C(c(c(C(=O)c1cccc2)ccc3CCCCC)c3)c12,2.94
517,CCOP(=S)(O/N=C(\C#N)/c1ccccc1)OCC,2.91
518,OCc1c(Cl)cccc1Cl,0.47
519,Clc1cc(-c2ccccc2)c(Cl)cc1Cl,3.78
520,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,3.85
521,COCN(C(=O)CCl)c1c(CC)cccc1CC,1.12
522,C(C(C=CC12)C1)(=CC)C2,2.04
523,Clc1cccc(-c2ccccc2)c1Cl,3.98
524,Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,4.13
525,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,1.51
526,[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,2.2
527,COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,3.62
528,[O-][N+](=O)c1c(Cl)cc(Cl)cc1Cl,2.47
529,CCOP(=S)(Oc1cc(o[n]1)-c1ccccc1)OCC,2.61
530,Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,3.92
531,CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,3.08
532,Clc1c2ccccc2c(Cl)c(Cl)c1Cl,3.7
533,c1ccc2N=C(SCSC(#N))Sc2c1,2.32
534,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,3.78
535,OS(=O)(=O)c1cc(Cl)ccc1Oc1ccc(Cl)cc1NC(=O)Nc1cc(Cl)c(Cl)cc1,1.87
536,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,2.12
537,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0.94
538,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,1.16
539,C=Cc1ccc(cc1)CC,2.69
540,CCN(CC)C(=O)SCc1ccc(Cl)cc1,2.23
541,ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.91
542,Clc1c2Oc3ccccc3Oc2c(Cl)c(Cl)c1Cl,3.46
543,Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,5.08
544,Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,4.62
545,c1ccccc1C(OCCCl)c2ccccc2,2.51
546,Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,5.97
547,COc1cc(ccc1[N+]([O-])=O)Oc1ccc(Cl)cc1Cl,3.59
548,Clc3ccc2Oc1cc(Cl)ccc1Oc2c3,2.54
549,Clc1cc(-c2ccccc2)c(Cl)cc1,3.98
550,Clc1cc(cc(Cl)c1)-c1ccccc1,3.77
551,Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,5.43
552,O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,2.2
553,Clc1cc(-c2cc(Cl)ccc2Cl)c(Cl)cc1,4.26
554,Clc1cc2Oc3c(Oc2c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.67
555,Cc1ccc(c(c1)OP(=S)(NC(C)CC)OCC)[N+]([O-])=O,2.46
556,c1c(Cl)cc(Cl)cc1N2C(=O)CN(C(=O)NC(C)C)C2(=O),2.53
557,Clc1cc(-c2ccccc2Cl)c(Cl)cc1,4.23
558,Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,5.47
559,Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,5.38
560,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,4.23
561,Clc1c2oc3c(c2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,2.89
562,Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,4
563,Clc1cc(Cl)c(Cl)c2Oc3ccccc3Oc12,2.75
564,Clc1c(Cl)c2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,4.26
565,CCCCCCc1ccc(cc1)-c1ccc(cc1)C#N,3.52
566,Clc1cc(-c2cccc(Cl)c2Cl)c(Cl)cc1,4.84
567,COc1c(Cl)c(Cl)ccc1Cl,2.52
568,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,1.57
569,Clc1cc2c(cc1Cl)oc1cc(Cl)c(Cl)cc21,3.61
570,CC(C)C(C(=O)OC(C#N)c1cc(ccc1)Oc1ccccc1)c1ccc(Cl)cc1,2.85
571,CC1(C)C(C1C=C(Cl)Cl)C(=O)OC(C#N)c1cccc(c1)Oc1ccccc1,2.53
572,Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)cc1,5.54
573,CC1(C)[C@@H]([C@@H]1C=C(Br)Br)C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1,2.51
574,COc1ccc(Cl)c(Cl)c1Cl,2.96
575,COc1cc(Cl)c(Cl)c(Cl)c1,3.09
576,Clc1cc2ccc(Cl)cc2c(Cl)c1,4.43
577,Clc1c(Cl)c(Cl)c(Cl)c(C(=O)O)c1C(=O)N,0.49
578,Clc2c(ccc(c2)Oc1cc(c(cc1)Cl)Cl)Cl,4.51
579,Cc1cc(Cl)c(OP(=S)(OC)OC)c(Cl)c1,2.86
580,COc1c(O)cc(Cl)c(Cl)c1Cl,2.41
581,Clc1c(Cl)c2oc3cc(Cl)c(Cl)cc3c2cc1Cl,4.13
582,Clc1ccc2c(oc3cc(Cl)c(Cl)cc23)c1Cl,2.72
583,Clc1c(Cl)c2c(cc1Cl)oc1cc(Cl)c(Cl)cc12,3.58
584,Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c23)c(Cl)c1Cl,3.94
585,O=C(O)C(C(C(=O)O)CCC1C)C1,0.38
586,Clc1cc2Oc3c(cc(Cl)c(Cl)c3Cl)Oc2c(Cl)c1Cl,3.93
587,Brc1cc(Br)c(-c2ccccc2)c(Br)c1,3.87
588,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,4.66
589,O=C(c(c(C(=O)c1c(N)c(Oc(ccc(c2)Br)c2)cc3O)ccc4)c4)c13,2.05
590,O[Si](CCCCCC)(CCCCCC)CCCCCC,2.7
591,Clc1cc2c(oc3c2cc(Cl)c(Cl)c3Cl)c(Cl)c1Cl,3.98
592,"CC1(C)[C@@H]([C@@H]1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1 |o1:3,4|",2.65
593,CC(C)Oc1cc(ccc1)NC(=O)c1ccccc1C(F)(F)F,1.29
594,Clc1cc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c(Cl)c1Cl,3.45
595,COC(=O)C(C)Oc1ccc(cc1)Oc1[n]cc(cc1Cl)C(F)(F)F,1.23
596,Clc1cc2c3c(oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.9
597,Clc1cc(Cl)c(Cl)c2c1oc1c2c(Cl)cc(Cl)c1Cl,2.96
598,Clc1ccc2c(oc3c2c(Cl)c(Cl)c(Cl)c3Cl)c1Cl,2.78
599,Clc1cc2oc3c(c2c(Cl)c1Cl)c(Cl)cc(Cl)c3Cl,3.2
600,CCc1[n][n](C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,1.15
